Fecha,Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%),Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Género - Hombre,Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Género - Mujer,Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 14 a 24 años,Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 25 a 44 años,Empleo Mensual en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Grupos de Edad - 45 a más años
2001-05-01,9.2,8.0,10.8,14.5,7.4,7.2
2001-06-01,9.5,8.5,10.8,15.2,7.5,7.4
2001-07-01,9.2,8.4,10.2,14.5,7.6,7.0
2001-08-01,9.5,8.4,10.9,15.2,7.8,7.1
2001-09-01,9.5,8.5,10.9,15.3,7.7,7.4
2001-10-01,9.7,8.9,10.8,15.3,7.9,8.0
2001-11-01,9.5,8.6,10.6,14.7,7.8,7.6
2001-12-01,8.9,8.1,9.9,13.9,7.4,6.7
2002-01-01,9.3,8.2,10.7,14.6,7.6,7.3
2002-02-01,10.0,8.8,11.5,15.9,8.1,7.3
2002-03-01,10.6,9.4,12.2,17.1,8.4,8.0
2002-04-01,10.7,9.3,12.4,17.1,8.3,8.5
2002-05-01,10.2,9.1,11.5,15.4,8.0,9.3
2002-06-01,9.9,8.6,11.4,14.4,8.0,9.3
2002-07-01,8.9,7.9,10.3,13.1,7.4,8.1
2002-08-01,8.7,7.5,10.1,13.7,6.8,7.8
2002-09-01,8.5,7.6,9.6,13.8,6.3,7.8
2002-10-01,8.5,7.5,9.6,14.5,6.1,7.5
2002-11-01,8.5,7.3,9.9,14.6,6.2,6.9
2002-12-01,8.7,7.5,10.0,15.2,6.3,6.7
2003-01-01,9.3,8.0,10.8,15.7,6.8,7.5
2003-02-01,9.5,8.2,11.1,15.8,7.3,6.8
2003-03-01,10.0,8.5,11.9,16.2,8.1,7.0
2003-04-01,9.9,8.4,11.6,15.8,8.2,6.9
2003-05-01,9.8,8.8,11.0,14.5,8.5,7.6
2003-06-01,9.3,8.4,10.3,13.7,7.9,7.7
2003-07-01,8.9,8.3,9.6,13.2,7.7,7.1
2003-08-01,9.3,8.4,10.3,14.1,7.5,8.1
2003-09-01,9.0,8.3,9.8,13.4,7.5,7.6
2003-10-01,9.2,8.7,10.0,14.3,7.5,7.6
2003-11-01,8.9,8.3,9.6,14.9,7.0,6.8
2003-12-01,9.4,8.6,10.3,15.7,7.2,7.7
2004-01-01,10.1,9.2,11.2,16.0,7.8,8.9
2004-02-01,10.5,9.4,11.8,16.4,8.1,9.2
2004-03-01,10.6,9.5,12.1,16.8,8.3,8.8
2004-04-01,10.5,9.3,12.0,17.2,8.2,8.1
2004-05-01,10.0,8.9,11.4,16.1,8.1,7.4
2004-06-01,9.5,8.2,11.0,14.7,7.7,7.7
2004-07-01,8.6,7.4,10.1,13.7,7.1,6.5
2004-08-01,8.7,7.3,10.5,14.2,7.1,6.3
