Fecha,Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - IPC Alimentos y Energía,Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - Índice de Precios al Consumidor (IPC),Índice de precios Lima Metropolitana (índice Dic.2021 = 100) - IPC Sin Alimentos y Energía,Índice de precios Lima Metropolitana (var% acumulada) - IPC
1992-01-01,15.11,15.54,15.12,3.54
1992-02-01,15.69,16.28,16.02,8.45
1992-03-01,17.12,17.49,16.88,16.52
1992-04-01,17.66,18.04,17.42,20.22
1992-05-01,18.32,18.66,17.94,24.35
1992-06-01,18.64,19.33,19.02,28.81
1992-07-01,19.39,20.01,19.56,33.29
1992-08-01,19.92,20.57,20.13,37.06
1992-09-01,20.34,21.11,20.79,40.65
1992-10-01,21.16,21.88,21.44,45.76
1992-11-01,22.06,22.65,22.0,50.92
1992-12-01,23.04,23.53,22.68,56.73
1993-01-01,24.08,24.67,23.88,4.85
1993-02-01,24.89,25.39,24.44,7.92
1993-03-01,26.08,26.46,25.3,12.49
1993-04-01,27.57,27.64,25.99,17.47
1993-05-01,28.43,28.47,26.74,21.04
1993-06-01,28.69,28.99,27.56,23.24
1993-07-01,29.48,29.79,28.27,26.61
1993-08-01,29.77,30.54,29.64,29.82
1993-09-01,30.1,31.04,30.31,31.92
1993-10-01,30.56,31.5,30.76,33.91
1993-11-01,31.06,32.01,31.24,36.06
1993-12-01,31.41,32.81,32.6,39.48
1994-01-01,31.83,33.42,33.4,1.84
1994-02-01,32.25,34.02,34.21,3.69
1994-03-01,33.09,34.82,34.89,6.1
1994-04-01,33.55,35.35,35.49,7.74
1994-05-01,33.53,35.61,36.1,8.51
1994-06-01,34.01,36.01,36.38,9.75
1994-07-01,34.26,36.33,36.78,10.73
1994-08-01,34.93,36.89,37.15,12.42
1994-09-01,35.0,37.08,37.49,13.0
1994-10-01,34.84,37.19,37.93,13.33
1994-11-01,35.37,37.64,38.26,14.71
1994-12-01,35.53,37.86,38.55,15.38
1995-01-01,35.52,38.0,38.95,0.37
1995-02-01,36.01,38.43,39.23,1.51
1995-03-01,36.41,38.96,39.94,2.91
1995-04-01,36.67,39.34,40.51,3.92
1995-05-01,36.98,39.67,40.87,4.79
1995-06-01,37.25,39.99,41.25,5.63
1995-07-01,37.42,40.22,41.55,6.24
1995-08-01,37.86,40.64,41.88,7.34
1995-09-01,37.96,40.8,42.15,7.76
1995-10-01,38.14,41.01,42.37,8.31
1995-11-01,38.79,41.52,42.58,9.65
1995-12-01,38.94,41.73,42.89,10.23
1996-01-01,39.58,42.25,43.13,1.24
1996-02-01,40.45,42.9,43.31,2.8
1996-03-01,40.94,43.49,44.03,4.21
1996-04-01,41.33,43.87,44.36,5.12
1996-05-01,41.6,44.19,44.75,5.89
1996-06-01,41.3,44.4,45.87,6.38
1996-07-01,42.13,45.01,46.01,7.84
1996-08-01,42.59,45.42,46.31,8.84
1996-09-01,42.63,45.57,46.64,9.19
1996-10-01,43.03,45.9,46.81,9.99
1996-11-01,43.16,46.12,47.17,10.51
1996-12-01,43.51,46.67,48.04,11.84
1997-01-01,43.55,46.9,48.59,0.48
1997-02-01,43.27,46.94,49.24,0.57
1997-03-01,43.86,47.54,49.8,1.85
1997-04-01,43.94,47.72,50.16,2.25
1997-05-01,44.33,48.08,50.43,3.02
1997-06-01,44.95,48.61,50.71,4.14
1997-07-01,45.45,49.01,50.9,5.0
1997-08-01,45.46,49.12,51.19,5.24
1997-09-01,45.57,49.26,51.38,5.55
1997-10-01,45.53,49.34,51.66,5.71
1997-11-01,45.49,49.38,51.85,5.79
1997-12-01,45.67,49.69,52.38,6.46
1998-01-01,46.23,50.14,52.58,0.91
1998-02-01,47.05,50.76,52.76,2.15
1998-03-01,47.75,51.43,53.31,3.5
1998-04-01,48.08,51.74,53.57,4.13
1998-05-01,48.37,52.05,53.87,4.75
1998-06-01,48.59,52.33,54.23,5.31
1998-07-01,48.94,52.66,54.48,5.97
1998-08-01,49.04,52.8,54.69,6.25
1998-09-01,48.46,52.51,54.97,5.68
1998-10-01,47.94,52.34,55.47,5.32
1998-11-01,47.77,52.35,55.8,5.35
1998-12-01,48.06,52.68,56.16,6.01
1999-01-01,47.81,52.68,56.67,0.01
1999-02-01,47.74,52.85,57.26,0.33
1999-03-01,47.92,53.17,57.82,0.94
1999-04-01,48.13,53.49,58.29,1.54
1999-05-01,48.37,53.74,58.54,2.02
