Fecha,Producto bruto interno por tipo de gasto (millones S/) - Demanda Interna - Consumo Privado,Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Privado,Producto bruto interno por tipo de gasto (millones S/) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija,Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Inversión Bruta Interna - Inversión Bruta Fija,Producto bruto interno por tipo de gasto (millones S/) - Demanda Interna - Consumo Público,Producto bruto interno por tipo de gasto (millones S/ 2007) - Demanda Interna - Consumo Público,Producto bruto interno por tipo de gasto (millones S/) - Exportaciones,Producto bruto interno por tipo de gasto (millones S/ 2007) - Exportaciones,Producto bruto interno por tipo de gasto (millones S/) - Importaciones,Producto bruto interno por tipo de gasto (millones S/ 2007) - Importaciones
1980-01-01,549.0,23549.0,220.0,4943.0,142.0,5084.0,325.0,7368.0,210.0,3647.0
1980-04-01,602.0,22797.0,285.0,5599.0,155.0,4612.0,301.0,7878.0,280.0,4136.0
1980-07-01,767.0,25670.0,309.0,6444.0,186.0,4863.0,337.0,8322.0,296.0,4738.0
1980-10-01,916.0,24810.0,455.0,6622.0,200.0,4584.0,399.0,8894.0,390.0,4756.0
1981-01-01,1101.0,24239.0,452.0,6689.0,256.0,6646.0,384.0,7886.0,421.0,5367.0
1981-04-01,1173.0,24316.0,541.0,7888.0,290.0,6064.0,405.0,7449.0,508.0,6555.0
1981-07-01,1450.0,27480.0,639.0,7310.0,313.0,5765.0,449.0,6788.0,502.0,6141.0
1981-10-01,1579.0,28587.0,911.0,9561.0,334.0,5710.0,488.0,7623.0,660.0,7187.0
1982-01-01,1717.0,28250.0,865.0,8457.0,441.0,6374.0,518.0,7675.0,666.0,7018.0
1982-04-01,1806.0,26248.0,951.0,8966.0,408.0,6060.0,678.0,6997.0,738.0,7778.0
1982-07-01,2382.0,29346.0,1105.0,8993.0,794.0,5837.0,765.0,7000.0,828.0,7005.0
1982-10-01,2613.0,28596.0,1471.0,11330.0,476.0,5464.0,957.0,7300.0,1190.0,8098.0
1983-01-01,3102.0,27416.0,1115.0,9264.0,727.0,6597.0,876.0,7778.0,891.0,7625.0
1983-04-01,3675.0,25226.0,1194.0,8766.0,1027.0,4970.0,1444.0,8523.0,1423.0,7325.0
1983-07-01,4779.0,29457.0,1649.0,8465.0,1056.0,9703.0,1966.0,7612.0,1679.0,6864.0
1983-10-01,5307.0,27627.0,2382.0,9814.0,1027.0,4683.0,1984.0,7943.0,2131.0,8160.0
1984-01-01,6588.0,26792.0,2036.0,6116.0,1311.0,6340.0,2218.0,6412.0,1812.0,5051.0
1984-04-01,7624.0,25384.0,2559.0,5600.0,1566.0,6889.0,2982.0,7731.0,2423.0,6305.0
1984-07-01,10256.0,26468.0,3336.0,6136.0,2073.0,5604.0,3901.0,7345.0,2938.0,5561.0
1984-10-01,12476.0,24944.0,4405.0,7781.0,2278.0,5004.0,4580.0,6709.0,3898.0,5966.0
1985-01-01,16492.0,25523.0,4820.0,5913.0,3315.0,6179.0,6255.0,7369.0,4887.0,4545.0
1985-04-01,20429.0,24516.0,6284.0,5765.0,4452.0,5500.0,9525.0,7628.0,7107.0,4912.0
1985-07-01,28739.0,27980.0,7982.0,6172.0,5409.0,5334.0,13939.0,7684.0,9253.0,4772.0
1985-10-01,32264.0,28425.0,10620.0,6855.0,6227.0,5257.0,14591.0,7607.0,9785.0,5033.0
1986-01-01,38337.0,28134.0,9986.0,5541.0,8453.0,6493.0,12127.0,7932.0,9598.0,4413.0
1986-04-01,42814.0,25635.0,11565.0,5058.0,8124.0,5589.0,11753.0,8193.0,12568.0,4536.0
1986-07-01,56140.0,27233.0,15259.0,4529.0,9885.0,5430.0,13188.0,7682.0,14611.0,3960.0
1986-10-01,65504.0,27305.0,19962.0,5888.0,11422.0,5740.0,13216.0,7727.0,17606.0,3788.0
1987-01-01,80046.0,28643.0,19113.0,5227.0,13496.0,7100.0,13899.0,7104.0,17881.0,3898.0
1987-04-01,82314.0,28289.0,22160.0,5643.0,14855.0,5769.0,17124.0,6916.0,16605.0,5076.0
1987-07-01,116485.0,33140.0,29057.0,6594.0,21499.0,6197.0,21690.0,6636.0,23031.0,5420.0
1987-10-01,136863.0,34491.0,37422.0,7861.0,25971.0,6035.0,26954.0,6672.0,32168.0,6066.0
1988-01-01,184.0,35928.0,50.0,6847.0,38.0,7184.0,39.0,6569.0,42.0,5756.0
1988-04-01,251.0,31107.0,65.0,6960.0,41.0,5918.0,72.0,7047.0,51.0,4900.0
1988-07-01,631.0,36587.0,157.0,7675.0,82.0,6791.0,145.0,6670.0,164.0,6071.0
1988-10-01,1570.0,35019.0,450.0,7890.0,167.0,6644.0,328.0,6066.0,432.0,6202.0
1989-01-01,3524.0,34176.0,913.0,7047.0,403.0,6798.0,1097.0,6486.0,953.0,5442.0
1989-04-01,6639.0,30689.0,1670.0,6562.0,984.0,5060.0,2410.0,6975.0,1979.0,5448.0
1989-07-01,15775.0,33892.0,3876.0,5887.0,2248.0,5358.0,4160.0,5989.0,2735.0,5568.0
1989-10-01,35675.0,28326.0,8740.0,5343.0,4129.0,5138.0,8069.0,5151.0,6450.0,4161.0
1990-01-01,75.0,24920.0,14.0,4496.0,12.0,4239.0,13.0,7194.0,13.0,3911.0
1990-04-01,169.0,23229.0,39.0,4966.0,22.0,4093.0,36.0,7633.0,34.0,4369.0
1990-07-01,1331.0,27771.0,265.0,5503.0,131.0,4292.0,313.0,7473.0,286.0,3731.0
1990-10-01,2505.0,30399.0,485.0,6653.0,233.0,5467.0,496.0,6918.0,420.0,4929.0
1991-01-01,3392.0,28406.0,583.0,6018.0,360.0,5627.0,553.0,6280.0,548.0,5953.0
1991-04-01,4492.0,26296.0,833.0,6184.0,408.0,4386.0,848.0,6166.0,897.0,4742.0
1991-07-01,6014.0,24792.0,1142.0,4641.0,561.0,3117.0,875.0,6726.0,1049.0,4441.0
1991-10-01,6738.0,26241.0,1430.0,4980.0,704.0,3119.0,983.0,6624.0,1368.0,3865.0
1992-01-01,7444.0,25970.0,1387.0,4660.0,667.0,4147.0,993.0,6490.0,1379.0,4549.0
1992-04-01,8097.0,27034.0,1450.0,5383.0,826.0,3784.0,1148.0,7294.0,1461.0,5576.0
1992-07-01,8872.0,28477.0,1755.0,6022.0,952.0,4119.0,1480.0,6955.0,1765.0,5934.0
1992-10-01,10354.0,28185.0,2110.0,6162.0,1090.0,4518.0,2006.0,6558.0,2350.0,6159.0
1993-01-01,10940.0,28360.0,2128.0,5691.0,1186.0,3858.0,1791.0,6700.0,2173.0,6353.0
1993-04-01,12568.0,26637.0,2505.0,5396.0,1374.0,4207.0,2100.0,6686.0,2619.0,5843.0
1993-07-01,14436.0,25928.0,2985.0,5674.0,1489.0,4404.0,2113.0,7120.0,3056.0,5725.0
