Fecha,Tipo de cambio - TC Interbancario (S/ por US$) - Compra,Tipo de cambio - TC Interbancario (S/ por US$) - Venta,Tipo de cambio - TC Euro (S/ por Euro) - Compra,Tipo de cambio - TC Euro (S/ por Euro) - Venta
2002-02-01,3.476,3.477,2.989,3.017
2002-02-04,3.482,3.484,2.94,3.058
2002-02-05,3.485,3.486,2.999,3.059
2002-02-06,3.486,3.487,2.946,3.074
2002-02-07,3.484,3.485,3.013,3.041
2002-02-08,3.487,3.487,3.015,3.1
2002-02-11,3.484,3.485,2.995,3.124
2002-02-12,3.474,3.475,3.024,3.084
2002-02-13,3.474,3.475,2.999,3.097
2002-02-14,3.474,3.475,2.982,3.052
2002-02-15,3.468,3.469,3.0,3.051
2002-02-18,3.468,3.469,2.935,3.083
2002-02-19,3.471,3.472,3.019,3.024
2002-02-20,3.473,3.473,3.024,3.053
2002-02-21,3.475,3.476,2.985,3.041
2002-02-22,3.479,3.48,3.028,3.032
2002-02-25,3.478,3.478,0.0,3.121
2002-02-26,3.474,3.475,2.995,3.106
2002-02-27,3.472,3.473,2.953,3.024
2002-02-28,3.469,3.47,3.012,3.02
2002-03-01,3.47,3.47,2.997,3.014
2002-03-04,3.468,3.469,2.986,3.019
2002-03-05,3.462,3.463,2.989,3.015
2002-03-06,3.458,3.459,3.002,3.019
2002-03-07,3.457,3.458,3.004,3.01
2002-03-08,3.453,3.454,3.013,3.031
2002-03-11,3.455,3.456,3.028,3.033
2002-03-12,3.452,3.453,3.024,3.03
2002-03-13,3.451,3.452,3.006,3.04
2002-03-14,3.45,3.451,3.014,3.028
2002-03-15,3.453,3.454,3.028,3.055
2002-03-18,3.454,3.454,3.02,3.061
2002-03-19,3.455,3.456,3.028,3.075
2002-03-20,3.456,3.456,2.969,3.07
2002-03-21,3.455,3.456,3.027,3.065
2002-03-22,3.454,3.455,3.055,3.062
2002-03-25,3.452,3.453,3.037,3.053
2002-03-26,3.45,3.451,3.026,3.078
2002-03-27,3.445,3.446,3.01,3.05
2002-03-28,0.0,0.0,0.0,0.0
2002-03-29,0.0,0.0,0.0,0.0
2002-04-01,3.443,3.444,3.022,3.047
2002-04-02,3.451,3.452,3.008,3.108
2002-04-03,3.449,3.45,3.035,3.041
2002-04-04,3.446,3.447,3.031,3.043
2002-04-05,3.444,3.445,3.034,3.044
2002-04-08,3.444,3.445,3.013,3.044
2002-04-09,3.442,3.443,3.026,3.036
2002-04-10,3.441,3.442,3.013,3.023
2002-04-11,3.442,3.443,3.024,3.033
2002-04-12,3.439,3.44,3.025,3.036
2002-04-15,3.438,3.438,3.031,3.043
2002-04-16,3.429,3.431,2.972,3.043
2002-04-17,3.429,3.43,3.004,3.026
2002-04-18,3.43,3.431,3.037,3.062
2002-04-19,3.427,3.428,3.041,3.05
2002-04-22,3.428,3.429,3.037,3.106
2002-04-23,3.431,3.432,3.041,3.15
2002-04-24,3.435,3.436,3.032,3.091
2002-04-25,3.437,3.438,3.068,3.081
2002-04-26,3.437,3.438,3.051,3.074
2002-04-29,3.436,3.437,3.084,3.092
2002-04-30,3.434,3.434,3.087,3.093
2002-05-01,0.0,0.0,0.0,0.0
2002-05-02,3.433,3.434,3.092,3.106
2002-05-03,3.435,3.436,3.087,3.114
2002-05-06,3.434,3.434,3.105,3.117
2002-05-07,3.432,3.433,3.14,3.147
2002-05-08,3.433,3.434,3.11,3.125
2002-05-09,3.439,3.44,3.133,3.14
2002-05-10,3.446,3.447,3.119,3.123
2002-05-13,3.451,3.452,3.132,3.142
2002-05-14,3.448,3.449,3.142,3.151
2002-05-15,3.446,3.447,3.139,3.145
2002-05-16,3.451,3.452,3.116,3.124
2002-05-17,3.456,3.457,3.094,3.189
2002-05-20,3.458,3.459,3.147,3.215
2002-05-21,3.463,3.464,3.151,3.223
2002-05-22,3.469,3.47,3.165,3.231
2002-05-23,3.468,3.469,3.164,3.253
2002-05-24,3.451,3.453,3.168,3.191
2002-05-27,3.454,3.455,3.121,3.195
2002-05-28,3.467,3.469,3.195,3.23
2002-05-29,3.468,3.47,3.219,3.256
2002-05-30,3.46,3.461,3.247,3.268
2002-05-31,3.46,3.461,3.162,3.286
2002-06-03,3.465,3.466,3.202,3.267
2002-06-04,3.471,3.473,3.264,3.309
2002-06-05,3.469,3.47,3.23,3.287
2002-06-06,0.0,0.0,0.0,0.0
2002-06-07,3.47,3.471,3.259,3.292
2002-06-10,3.467,3.468,3.274,3.295
2002-06-11,3.466,3.467,3.239,3.305
2002-06-12,3.47,3.471,3.272,3.295
2002-06-13,3.465,3.466,3.268,3.298
2002-06-14,3.462,3.463,3.258,3.296
2002-06-17,3.463,3.464,3.26,3.294
2002-06-18,3.467,3.468,3.27,3.314
2002-06-19,3.474,3.475,3.278,3.353
2002-06-20,3.489,3.491,3.351,3.419
2002-06-21,3.509,3.511,3.334,3.377
2002-06-24,3.508,3.51,3.38,3.381
2002-06-25,3.498,3.499,3.397,3.408
2002-06-26,3.509,3.51,3.427,3.437
2002-06-27,3.506,3.507,3.444,3.462
2002-06-28,3.509,3.51,3.468,3.472
2002-07-01,3.51,3.511,3.445,3.508
2002-07-02,3.518,3.519,3.473,3.488
2002-07-03,3.523,3.525,3.441,3.502
2002-07-04,3.523,3.525,3.366,3.48
2002-07-05,3.536,3.538,3.41,3.516
2002-07-08,3.537,3.539,3.363,3.546
2002-07-09,3.536,3.537,3.492,3.53
2002-07-10,3.544,3.545,3.474,3.545
2002-07-11,3.553,3.557,3.505,3.531
2002-07-12,3.544,3.546,3.511,3.528
2002-07-15,3.536,3.538,3.357,3.551
2002-07-16,3.531,3.533,3.518,3.514
2002-07-17,3.537,3.538,3.554,3.561
2002-07-18,3.535,3.536,3.562,3.571
2002-07-19,3.528,3.53,3.567,3.623
2002-07-22,3.517,3.518,3.534,3.634
2002-07-23,3.525,3.527,3.412,3.594
2002-07-24,3.536,3.538,3.414,3.549
2002-07-25,3.542,3.544,3.449,3.606
2002-07-26,3.534,3.536,3.478,3.558
2002-07-29,0.0,0.0,0.0,0.0
2002-07-30,0.0,0.0,0.0,0.0
2002-07-31,3.551,3.555,3.412,3.574
2002-08-01,3.555,3.557,3.413,3.586
2002-08-02,3.541,3.544,3.441,3.574
